name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link,x,y
Luki,Luki,1979/01/01,Town in Ukraine.,20.801700000000000,322.632200000000012,-29.533700000000000,"Crater, craters",AA,Adopted by IAU,322.427700000000016,322.831000000000017,-29.704499999999999,-29.353500000000000,Ukraine,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3512,-37.3678000,-29.5337000
Lutsk,Lutsk,1976/01/01,Town in Ukraine.,4.854050000000000,356.912800000000004,38.699800000000003,"Crater, craters",AA,Adopted by IAU,356.862599999999986,356.967600000000004,38.660200000000003,38.741999999999997,Ukraine,Europe,Mare Acidalium,mc04,http://planetarynames.wr.usgs.gov/Feature/3524,-3.0872000,38.6998000
Luzin,Luzin,1976/01/01,"N. N.; Russian mathematician (1883-1950).",101.043999999999997,31.282100000000000,27.062200000000001,"Crater, craters",AA,Adopted by IAU,30.325600000000001,32.239800000000002,26.210300000000000,27.914999999999999,Russia,Europe,Arabia,mc12,http://planetarynames.wr.usgs.gov/Feature/3525,31.2821000,27.0622000
Lydda,Lydda,1997/01/01,Town in Israel.,33.830599999999997,328.048400000000015,24.422699999999999,"Crater, craters",AA,Adopted by IAU,327.731400000000008,328.358200000000011,24.136299999999999,24.707100000000001,Israel,Asia,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3530,-31.9516000,24.4227000
Lyell,Lyell,1973/01/01,"Charles; British geologist (1797-1875).",121.832999999999998,344.528000000000020,-69.906800000000004,"Crater, craters",AA,Adopted by IAU,341.552099999999996,347.537699999999973,-70.935699999999997,-68.880300000000005,Great Britain,Europe,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/3533,-15.4720000,-69.9068000
Lyot,Lyot,1973/01/01,"Bernard; French astronomer (1897-1952).",221.531000000000006,29.341300000000000,50.467100000000002,"Crater, craters",AA,Adopted by IAU,26.405400000000000,32.278799999999997,48.599200000000003,52.336700000000000,France,Europe,Ismenius Lacus,mc05,http://planetarynames.wr.usgs.gov/Feature/3538,29.3413000,50.4671000
Madrid,Madrid,1979/01/01,Spanish tracking site.,3.799770000000000,135.435599999999994,48.449700000000000,"Crater, craters",AA,Adopted by IAU,135.397300000000001,135.473999999999990,48.418199999999999,48.481299999999997,Spain,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/3567,135.4356000,48.4497000
Mafra,Mafra,1976/01/01,Town in Brazil.,13.348500000000000,306.850500000000011,-44.019199999999998,"Crater, craters",AA,Adopted by IAU,306.696599999999989,307.009799999999984,-44.131000000000000,-43.905799999999999,Brazil,South and Central America,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3573,-53.1495000,-44.0192000
Magadi,Magadi,1979/01/01,Town in Kenya.,50.786200000000001,313.930700000000002,-34.518999999999998,"Crater, craters",AA,Adopted by IAU,313.417100000000005,314.457100000000025,-34.948000000000000,-34.091200000000001,Kenya,Africa,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3575,-46.0693000,-34.5190000
Magelhaens,Magelhaens,1976/01/01,"Fernao de; Portuguese navigator (1480-1521).",103.799000000000007,185.421600000000012,-32.356600000000000,"Crater, craters",AA,Adopted by IAU,184.380200000000002,186.453300000000013,-33.234900000000003,-31.483699999999999,Portugal,Europe,Phaethontis,mc24,http://planetarynames.wr.usgs.gov/Feature/3579,-174.5784000,-32.3566000
Maggini,Maggini,1973/01/01,"Mentore; Italian astronomer (1890-1941).",139.063999999999993,9.499700000000001,27.781800000000000,"Crater, craters",AA,Adopted by IAU,8.173999999999999,10.825699999999999,26.609200000000001,28.955300000000001,Italy,Europe,Arabia,mc12,http://planetarynames.wr.usgs.gov/Feature/3580,9.4997000,27.7818000
Mago,Mago,1988/01/01,Town in Russia.,2.739280000000000,105.358300000000000,15.924899999999999,"Crater, craters",AA,Adopted by IAU,105.334400000000002,105.382400000000004,15.901400000000001,15.947699999999999,Russia,Europe,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/3583,105.3583000,15.9249000
Maidstone,Maidstone,1976/01/01,Town in England.,9.386430000000001,305.777800000000013,-41.558900000000001,"Crater, craters",AA,Adopted by IAU,305.673699999999997,305.885299999999972,-41.634900000000002,-41.476500000000001,Great Britain,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3594,-54.2222000,-41.5589000
Main,Main,1973/01/01,"Robert; British astronomer (1808-1878).",110.992999999999995,49.009099999999997,-76.541100000000000,"Crater, craters",AA,Adopted by IAU,44.986400000000003,53.038899999999998,-77.478700000000003,-75.606099999999998,Great Britain,Europe,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/3596,49.0091000,-76.5411000
Mandora,Mandora,1988/01/01,Town in Australia.,55.942000000000000,306.373100000000022,12.221600000000000,"Crater, craters",AA,Adopted by IAU,305.895600000000002,306.861199999999997,11.749900000000000,12.693700000000000,Australia,Oceania,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/3626,-53.6269000,12.2216000
Manti,Manti,1976/01/01,"Town in Utah, USA.",15.642400000000000,322.427300000000002,-3.578300000000000,"Crater, craters",AA,Adopted by IAU,322.300599999999974,322.564999999999998,-3.710300000000000,-3.446400000000000,United States,North America,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3639,-37.5727000,-3.5783000
Manzī,Manzi,1976/01/01,Town in Burma.,7.518100000000000,332.529100000000028,-22.146699999999999,"Crater, craters",AA,Adopted by IAU,332.461900000000014,332.598799999999983,-22.208900000000000,-22.082000000000001,Burma,Asia,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3648,-27.4709000,-22.1467000
Maraldi,Maraldi,1973/01/01,"Giacomo F.; French astronomer (1665-1729).",118.239999999999995,328.043600000000026,-61.918900000000001,"Crater, craters",AA,Adopted by IAU,325.934399999999982,330.176400000000001,-62.917400000000001,-60.922600000000003,France,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3651,-31.9564000,-61.9189000
Marbach,Marbach,1976/01/01,Town in Switzerland.,24.742999999999999,111.034000000000006,17.646899999999999,"Crater, craters",AA,Adopted by IAU,110.816900000000004,111.254999999999995,17.438500000000001,17.855899999999998,Switzerland,Europe,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/3654,111.0340000,17.6469000
Marca,Marca,1985/01/01,Village in Peru.,78.351399999999998,201.850899999999996,-9.980399999999999,"Crater, craters",AA,Adopted by IAU,201.183300000000003,202.525399999999991,-10.641500000000001,-9.319599999999999,Peru,South and Central America,Memnonia,mc16,http://planetarynames.wr.usgs.gov/Feature/3655,-158.1491000,-9.9804000
Mari,Mari,1991/01/01,Ruined city in Syria.,37.047899999999998,314.115900000000011,-52.011499999999998,"Crater, craters",AA,Adopted by IAU,313.616800000000012,314.632200000000012,-52.324900000000000,-51.699900000000000,Syria,Asia,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3703,-45.8841000,-52.0115000
Mariner,Mariner,1967/01/01,Named for Mariner IV spacecraft.,156.575999999999993,195.764999999999986,-34.681699999999999,"Crater, craters",AA,Adopted by IAU,194.162800000000004,197.375300000000010,-36.003100000000003,-33.361499999999999,American,North America,Phaethontis,mc24,http://planetarynames.wr.usgs.gov/Feature/3711,-164.2350000,-34.6817000
Marth,Marth,1973/01/01,"Albert; German astronomer (1828-1897).",96.687200000000004,356.552900000000022,12.936600000000000,"Crater, craters",AA,Adopted by IAU,355.722199999999987,357.395899999999983,12.121200000000000,13.752400000000000,Great Britain,Europe,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3725,-3.4471000,12.9366000
Martz,Martz,1973/01/01,"Edwin P.; American physicist (1916-1967).",92.744600000000005,144.176899999999989,-34.914800000000000,"Crater, craters",AA,Adopted by IAU,143.242199999999997,145.150399999999991,-35.697200000000002,-34.132500000000000,American,North America,Eridania,mc29,http://planetarynames.wr.usgs.gov/Feature/3729,144.1769000,-34.9148000
N. Mareotis Tholus,N  Mareotis Tholus,1991/01/01,Classical albedo name.,3.578760000000000,273.793700000000001,36.379899999999999,"Tholus, tholi",TH,Adopted by IAU,273.760899999999992,273.824500000000000,36.350499999999997,36.410800000000002,Greek,Europe,Arcadia,mc03,http://planetarynames.wr.usgs.gov/Feature/4097,-86.2063000,36.3799000
Masursky,Masursky,1997/01/01,"Harold; American astrogeologist (1922-1990).",115.341999999999999,327.694999999999993,12.067299999999999,"Crater, craters",AA,Adopted by IAU,326.705699999999979,328.695600000000013,11.094500000000000,13.040500000000000,American,North America,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3746,-32.3050000,12.0673000
Maunder,Maunder,1973/01/01,"Edward W.; British astronomer (1851-1928).",90.844600000000000,1.751400000000000,-49.603900000000003,"Crater, craters",AA,Adopted by IAU,0.568900000000000,2.934000000000000,-50.371000000000002,-48.838400000000000,Great Britain,Europe,Noachis,mc27,http://planetarynames.wr.usgs.gov/Feature/3757,1.7514000,-49.6039000
Pavonis Chasma,Pavonis Chasma,1991/01/01,Albedo name.,45.941800000000001,248.975999999999999,2.733600000000000,"Chasma, chasmata",CM,Adopted by IAU,248.600899999999996,249.288000000000011,2.413300000000000,3.051900000000000,Greek,Europe,Tharsis,mc09,http://planetarynames.wr.usgs.gov/Feature/4618,-111.0240000,2.7336000
McLaughlin,McLaughlin,1973/01/01,"Dean B.; American astronomer (1901-1965).",90.920400000000001,337.632999999999981,21.896599999999999,"Crater, craters",AA,Adopted by IAU,336.812599999999975,338.465700000000027,21.129999999999999,22.663900000000002,American,North America,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3782,-22.3670000,21.8966000
Medrissa,Medrissa,1988/01/01,Town in Algeria.,19.524699999999999,303.431500000000028,18.641800000000000,"Crater, craters",AA,Adopted by IAU,303.263100000000009,303.610700000000008,18.477399999999999,18.806799999999999,Algeria,Africa,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/3794,-56.5685000,18.6418000
Palikir,Palikir,2011/09/29,Capital of the Federated States of Micronesia.,15.574000000000000,202.141600000000011,-41.572699999999998,"Crater, craters",AA,Adopted by IAU,201.965399999999988,202.317800000000005,-41.703400000000002,-41.442100000000003,Micronesia,Oceania,Phaethontis,mc24,http://planetarynames.wr.usgs.gov/Feature/14872,-157.8584000,-41.5727000
Mega,Mega,1976/01/01,Town in Ethiopia.,16.947900000000001,323.095199999999977,-1.430500000000000,"Crater, craters",AA,Adopted by IAU,322.953700000000026,323.239700000000028,-1.572500000000000,-1.286600000000000,Ethiopia,Africa,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3799,-36.9048000,-1.4305000
Meget,Meget,1988/01/01,Town in Russia.,4.585680000000000,107.312799999999996,18.864899999999999,"Crater, craters",AA,Adopted by IAU,107.271000000000001,107.352800000000002,18.826499999999999,18.903900000000000,Russia,Europe,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/3801,107.3128000,18.8649000
Raga,Raga,2011/09/29,Town in South Sudan.,3.434000000000000,242.423100000000005,-48.102200000000003,"Crater, craters",AA,Adopted by IAU,242.382000000000005,242.464300000000009,-48.131300000000003,-48.073200000000000,South Sudan,Africa,Thaumasia,mc25,http://planetarynames.wr.usgs.gov/Feature/14873,-117.5769000,-48.1022000
Mellish,Mellish,1994/01/01,"John E.; American amateur astronomer (1886-1970).",104.951999999999998,336.259000000000015,-72.627399999999994,"Crater, craters",AA,Adopted by IAU,333.311599999999999,339.244399999999985,-73.513900000000007,-71.743300000000005,American,North America,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/3821,-23.7410000,-72.6274000
Memnonia Fossae,Memnonia Fossae,1973/01/01,Classical albedo feature name.,1585.279999999999973,206.178899999999999,-23.626899999999999,"Fossa, fossae",FO,Adopted by IAU,190.388900000000007,220.263700000000000,-27.492400000000000,-19.111899999999999,Greek,Europe,Memnonia,mc16,http://planetarynames.wr.usgs.gov/Feature/3827,-153.8211000,-23.6269000
Sacra Mensa,Sacra Mensa,1988/01/01,Albedo feature name.,577.000000000000000,291.784800000000018,24.641999999999999,"Mensa, mensae",MN,Adopted by IAU,286.626300000000015,297.086000000000013,22.290099999999999,26.983499999999999,Latin,Europe,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/5268,-68.2152000,24.6420000
Echus Chasma,Echus Chasma,1976/01/01,Classical albedo feature name.,391.095000000000027,280.038200000000018,2.471600000000000,"Chasma, chasmata",CM,Adopted by IAU,278.670700000000011,282.567700000000002,-1.354900000000000,5.736600000000000,Latin,Europe,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/1712,-79.9618000,2.4716000
Mena,Mena,1979/01/01,Town in Russia.,29.910299999999999,341.242999999999995,-32.109699999999997,"Crater, craters",AA,Adopted by IAU,340.945100000000025,341.540799999999990,-32.362400000000001,-31.857700000000001,Russia,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3831,-18.7570000,-32.1097000
Dubis Vallis,Dubis Vallis,1985/01/01,"Classical name for modern Doubs River, France.",45.416200000000003,211.871600000000001,-5.157600000000000,"Vallis, valles",VA,Adopted by IAU,211.849500000000006,211.995100000000008,-5.502300000000000,-4.862300000000000,France,Europe,Memnonia,mc16,http://planetarynames.wr.usgs.gov/Feature/1653,-148.1284000,-5.1576000
Lunae Mensa,Lunae Mensa,1988/01/01,Albedo feature name.,114.751000000000005,297.499500000000012,23.910799999999998,"Mensa, mensae",MN,Adopted by IAU,296.470199999999977,298.468299999999999,23.469899999999999,24.460000000000001,Roman,Europe,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/3517,-62.5005000,23.9108000
Arsia Chasmata,Arsia Chasmata,1991/01/01,Albedo name.,97.057100000000005,240.653899999999993,-7.469100000000000,"Chasma, chasmata",CM,Adopted by IAU,239.903199999999998,241.374500000000012,-8.273800000000000,-6.669500000000000,Latin,Europe,Phoenicis Lacus,mc17,http://planetarynames.wr.usgs.gov/Feature/393,-119.3461000,-7.4691000
Charitum Montes,Charitum Montes,1973/01/01,Classical albedo feature name.,933.539999999999964,319.707899999999995,-58.097099999999998,"Mons, montes",MO,Adopted by IAU,305.940600000000018,332.629200000000026,-60.553100000000001,-52.903900000000000,Greek,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/1149,-40.2921000,-58.0971000
Mendel,Mendel,1973/01/01,"Gregor J.; Austrian biologist (1822-1884).",77.320400000000006,161.248799999999989,-58.783600000000000,"Crater, craters",AA,Adopted by IAU,159.990299999999991,162.507299999999987,-59.435800000000000,-58.131500000000003,Austria,Europe,Eridania,mc29,http://planetarynames.wr.usgs.gov/Feature/3836,161.2488000,-58.7836000
Mendota,Mendota,1991/01/01,"town in Illinois, USA.",8.859320000000000,138.331899999999990,35.827700000000000,"Crater, craters",AA,Adopted by IAU,138.242600000000010,138.426999999999992,35.753500000000003,35.902999999999999,American,North America,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/3839,138.3319000,35.8277000
Tivat,Tivat,2011/09/29,Town in Montenegro.,3.622000000000000,9.530300000000000,-45.927100000000003,"Crater, craters",AA,Adopted by IAU,9.486300000000000,9.574400000000001,-45.954599999999999,-45.899500000000003,Montenegro,Europe,Noachis,mc27,http://planetarynames.wr.usgs.gov/Feature/14874,9.5303000,-45.9271000
Mie,Mie,1973/01/01,"Gustav; German physicist (1868-1957).",100.908000000000001,139.654799999999994,48.164600000000000,"Crater, craters",AA,Adopted by IAU,138.383199999999988,140.933600000000013,47.314200000000000,49.016599999999997,Germany,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/3886,139.6548000,48.1646000
Mila,Mila,1976/01/01,Town in Algeria.,10.873400000000000,339.248699999999985,-27.163499999999999,"Crater, craters",AA,Adopted by IAU,339.146900000000016,339.353099999999984,-27.252600000000001,-27.069099999999999,Algeria,Africa,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3891,-20.7513000,-27.1635000
Hyblaeus Catena,Hyblaeus Catena,1985/01/01,Albedo feature name.,10.485700000000000,140.618400000000008,21.596699999999998,"Catena, catenae",CA,Adopted by IAU,140.524699999999996,140.714900000000000,21.595500000000001,21.597200000000001,Latin,Europe,Elysium,mc15,http://planetarynames.wr.usgs.gov/Feature/2598,140.6184000,21.5967000
Milankovič,Milankovic,1973/01/01,"Milutin; Yugoslav geophysicist, astrophysicist (1879-1958).",113.513000000000005,213.421400000000006,54.461700000000000,"Crater, craters",AA,Adopted by IAU,211.778899999999993,215.076200000000000,53.505099999999999,55.420099999999998,Yugoslavia,Europe,Diacria,mc02,http://planetarynames.wr.usgs.gov/Feature/3893,-146.5786000,54.4617000
Milford,Milford,1991/01/01,"Town in Utah, USA.",24.972100000000001,318.509400000000028,-52.412300000000002,"Crater, craters",AA,Adopted by IAU,318.172700000000020,318.863800000000026,-52.623800000000003,-52.202500000000001,American,North America,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3896,-41.4906000,-52.4123000
Tyrrhena Patera,Tyrrhena Patera,1973/01/01,Classical albedo feature name.,12.637300000000000,106.625600000000006,-21.387200000000000,"Patera, paterae",PE,Adopted by IAU,106.506600000000006,106.734600000000000,-21.492500000000000,-21.279299999999999,Latin,Europe,Mare Tyrrhenum,mc22,http://planetarynames.wr.usgs.gov/Feature/6174,106.6256000,-21.3872000
Arimanes Rupes,Arimanes Rupes,1985/01/01,"Albedo feature; classical Persian deity of wickedness.",192.671999999999997,212.304200000000009,-9.838699999999999,"Rupes, rupēs",RU,Adopted by IAU,212.163999999999987,212.848899999999986,-11.332900000000000,-8.311999999999999,Persian,Asia,Memnonia,mc16,http://planetarynames.wr.usgs.gov/Feature/378,-147.6958000,-9.8387000
Millman,Millman,1994/01/01,"Peter; Canadian astronomer (1906-1990).",73.840599999999995,210.360999999999990,-53.949700000000000,"Crater, craters",AA,Adopted by IAU,209.308600000000013,211.425500000000000,-54.573500000000003,-53.327700000000000,Canada,North America,Phaethontis,mc24,http://planetarynames.wr.usgs.gov/Feature/3901,-149.6390000,-53.9497000
Millochau,Millochau,1973/01/01,"Gaston; French astronomer (b. 1866).",112.891999999999996,85.104900000000001,-21.189399999999999,"Crater, craters",AA,Adopted by IAU,84.085099999999997,86.127799999999993,-22.141999999999999,-20.237500000000001,France,Europe,Iapygia,mc21,http://planetarynames.wr.usgs.gov/Feature/3902,85.1049000,-21.1894000
Mirtos,Mirtos,1988/01/01,Town in Greece (Crete).,6.382590000000000,308.244399999999985,22.124800000000000,"Crater, craters",AA,Adopted by IAU,308.186300000000017,308.302599999999984,22.071000000000002,22.178699999999999,Greek,Europe,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/3924,-51.7556000,22.1248000
Mistretta,Mistretta,1991/01/01,Town in Sicily.,16.564599999999999,250.870800000000003,-24.680800000000001,"Crater, craters",AA,Adopted by IAU,250.721699999999998,251.029200000000003,-24.821000000000002,-24.541499999999999,Italy,Europe,Phoenicis Lacus,mc17,http://planetarynames.wr.usgs.gov/Feature/3930,-109.1292000,-24.6808000
Amenthes Fossae,Amenthes Fossae,1976/01/01,Classical albedo feature name.,850.000000000000000,102.684299999999993,9.074800000000000,"Fossa, fossae",FO,Adopted by IAU,96.970900000000000,107.284300000000002,2.171400000000000,13.730700000000001,Egypt,Africa,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/227,102.6843000,9.0748000
Mitchel,Mitchel,1973/01/01,"Ormsby M.; American astronomer (1809-1862).",135.896999999999991,76.007700000000000,-67.525999999999996,"Crater, craters",AA,Adopted by IAU,72.990200000000002,79.025499999999994,-68.679199999999994,-66.372900000000001,American,North America,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/3931,76.0077000,-67.5260000
Mliba,Mliba,1991/01/01,Town in Swaziland.,11.851200000000000,87.984399999999994,-39.606999999999999,"Crater, craters",AA,Adopted by IAU,87.854600000000005,88.114199999999997,-39.707099999999997,-39.507100000000001,Swaziland,Africa,Hellas,mc28,http://planetarynames.wr.usgs.gov/Feature/3937,87.9844000,-39.6070000
Cerberus Palus,Cerberus Palus,2006/01/01,Classical albedo feature name.,466.677999999999997,148.145199999999988,5.776500000000000,"Palus, paludes",PA,Adopted by IAU,144.579900000000009,152.466399999999993,1.026300000000000,8.983900000000000,Greek,Europe,Elysium,mc15,http://planetarynames.wr.usgs.gov/Feature/14162,148.1452000,5.7765000
Stygis Catena,Stygis Catena,1985/01/01,"From albedo feature at 30N, 200W.",65.380799999999994,150.567299999999989,23.252600000000001,"Catena, catenae",CA,Adopted by IAU,150.333400000000012,150.759099999999989,22.745300000000000,23.773700000000002,Greek,Europe,Elysium,mc15,http://planetarynames.wr.usgs.gov/Feature/5732,150.5673000,23.2526000
Mohawk,Mohawk,1976/01/01,"Town in New York, USA.",17.493700000000000,354.648700000000019,42.887999999999998,"Crater, craters",AA,Adopted by IAU,354.447900000000004,354.850799999999992,42.741100000000003,43.036299999999997,United States,North America,Mare Acidalium,mc04,http://planetarynames.wr.usgs.gov/Feature/3945,-5.3513000,42.8880000
Mojave,Mojave,2006/01/01,"Town in California, USA.",57.969900000000003,327.013599999999997,7.484100000000000,"Crater, craters",AA,Adopted by IAU,326.526000000000010,327.512400000000014,6.995200000000000,7.973200000000000,United States,North America,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3951,-32.9864000,7.4841000
Phlegra Montes,Phlegra Montes,1973/01/01,Classical albedo feature name.,1350.650000000000091,163.714200000000005,40.396700000000003,"Mons, montes",MO,Adopted by IAU,159.737099999999998,167.261500000000012,29.054200000000002,51.572099999999999,Greek,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/4701,163.7142000,40.3967000
Molesworth,Molesworth,1973/01/01,"Percy B.; British astronomer (1867-1908).",168.866999999999990,149.270499999999998,-27.495200000000001,"Crater, craters",AA,Adopted by IAU,147.674700000000001,150.885799999999989,-28.922699999999999,-26.073799999999999,Great Britain,Europe,Aeolis,mc23,http://planetarynames.wr.usgs.gov/Feature/3953,149.2705000,-27.4952000
Montevallo,Montevallo,1988/01/01,"Town in Alabama, USA.",50.421100000000003,305.734899999999982,15.251500000000000,"Crater, craters",AA,Adopted by IAU,305.299399999999991,306.180999999999983,14.826499999999999,15.677099999999999,United States,North America,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/4021,-54.2651000,15.2515000
Trebia Valles,Trebia Valles,1985/01/01,"Classical name for modern Trebbia River, Italy.",179.795999999999992,150.120900000000006,32.084499999999998,"Vallis, valles",VA,Adopted by IAU,148.583900000000000,151.504099999999994,30.596800000000002,33.627699999999997,Italy,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/6078,150.1209000,32.0845000
Morella,Morella,2006/01/01,Town in Spain.,76.973200000000006,308.613000000000000,-9.579900000000000,"Crater, craters",AA,Adopted by IAU,307.959799999999973,309.276799999999980,-10.229400000000000,-8.930800000000000,Spain,Europe,Coprates,mc18,http://planetarynames.wr.usgs.gov/Feature/4033,-51.3870000,-9.5799000
Moreux,Moreux,1973/01/01,"Theophile; French astronomer and meteorologist (1867-1954).",131.548000000000002,44.543900000000001,41.792200000000001,"Crater, craters",AA,Adopted by IAU,43.056500000000000,46.033299999999997,40.683199999999999,42.902600000000000,France,Europe,Ismenius Lacus,mc05,http://planetarynames.wr.usgs.gov/Feature/4035,44.5439000,41.7922000
Zephyria Planum,Zephyria Planum,2006/01/01,Classical albedo feature name.,575.106999999999971,153.729700000000008,-1.080700000000000,"Planum, plana",PM,Adopted by IAU,149.958599999999990,156.751499999999993,-5.415900000000000,3.258700000000000,Greek,Europe,Aeolis,mc23,http://planetarynames.wr.usgs.gov/Feature/14164,153.7297000,-1.0807000
Moss,Moss,1976/01/01,Town in Norway.,9.085010000000000,109.488000000000000,19.233499999999999,"Crater, craters",AA,Adopted by IAU,109.406800000000004,109.569100000000006,19.156900000000000,19.310199999999998,Norway,Europe,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/4050,109.4880000,19.2335000
Murgoo,Murgoo,1976/01/01,Town in Australia.,22.643400000000000,337.554399999999987,-23.637100000000000,"Crater, craters",AA,Adopted by IAU,337.347699999999975,337.764599999999973,-23.822900000000001,-23.440899999999999,Australia,Oceania,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/4073,-22.4456000,-23.6371000
Mut,Mut,1976/01/01,Town in Turkey.,6.972760000000000,324.238000000000000,22.356200000000001,"Crater, craters",AA,Adopted by IAU,324.173499999999990,324.300700000000006,22.297799999999999,22.415400000000002,Turkey,Asia,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/4080,-35.7620000,22.3562000
Mutch,Mutch,1985/01/01,"Dr. Thomas A.; American geologist, Viking Lander Imaging Team leader (1931-1980).",198.811000000000007,304.793000000000006,0.595400000000000,"Crater, craters",AA,Adopted by IAU,303.120999999999981,306.475300000000004,-1.081600000000000,2.272500000000000,American,North America,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/4082,-55.2070000,0.5954000
Abalos Scopuli,Abalos Scopuli,2006/01/01,Classical albedo feature name.,109.161000000000001,283.439799999999991,80.720600000000005,"Scopulus, scopuli",SC,Adopted by IAU,279.472399999999993,290.517200000000003,80.202600000000004,81.955200000000005,Roman,Europe,Mare Boreum,mc01,http://planetarynames.wr.usgs.gov/Feature/14148,-76.5602000,80.7206000
Mädler,Madler,1973/01/01,"Johann H. von; German astronomer (1794-1874).",124.161000000000001,2.765600000000000,-10.653800000000000,"Crater, craters",AA,Adopted by IAU,1.700000000000000,3.831400000000000,-11.701300000000000,-9.606600000000000,Germany,Europe,Sinus Sabaeus,mc20,http://planetarynames.wr.usgs.gov/Feature/4092,2.7656000,-10.6538000
Müller,Muller,1973/01/01,"Hermann J.; American geneticist (1890-1967), and Carl H.; German astronomer (1851-1925).",120.515000000000001,127.886499999999998,-25.735700000000001,"Crater, craters",AA,Adopted by IAU,126.760300000000001,129.017500000000013,-26.752700000000001,-24.719500000000000,American,North America,Mare Tyrrhenum,mc22,http://planetarynames.wr.usgs.gov/Feature/4096,127.8865000,-25.7357000
Naar,Naar,1976/01/01,Town in Egypt.,11.337199999999999,317.870099999999979,22.913699999999999,"Crater, craters",AA,Adopted by IAU,317.766300000000001,317.973999999999990,22.818100000000001,23.009399999999999,Egypt,Africa,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/4098,-42.1299000,22.9137000
Naic,Naic,1976/01/01,Town in the Philippines.,8.678390000000000,107.439400000000006,24.453299999999999,"Crater, craters",AA,Adopted by IAU,107.361000000000004,107.521799999999999,24.380500000000001,24.526900000000001,Philippines,Asia,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/4113,107.4394000,24.4533000
Lunae Planum,Lunae Planum,1973/01/01,Classical albedo feature name.,1817.660000000000082,294.487700000000018,10.793300000000000,"Planum, plana",PM,Adopted by IAU,280.433800000000019,305.425599999999974,-4.738500000000000,24.071000000000002,Latin,Europe,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/3519,-65.5123000,10.7933000
Nain,Nain,1979/01/01,"Town in Newfoundland, Canada.",6.885870000000000,126.842799999999997,41.467500000000001,"Crater, craters",AA,Adopted by IAU,126.768100000000004,126.923199999999994,41.410100000000000,41.526299999999999,Canada,North America,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/4115,126.8428000,41.4675000
