name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link,x,y
Jampur,Jampur,1991/01/01,Town in Pakistan.,27.895499999999998,278.450699999999983,38.714199999999998,"Crater, craters",AA,Adopted by IAU,278.155100000000004,278.758199999999988,38.479500000000002,38.950099999999999,Pakistan,Asia,Arcadia,mc03,http://planetarynames.wr.usgs.gov/Feature/2792,-81.5493000,38.7142000
Jodrell,Jodrell,1979/01/01,United Kingdom tracking site.,3.021060000000000,132.304100000000005,47.468899999999998,"Crater, craters",AA,Adopted by IAU,132.267200000000003,132.342600000000004,47.444299999999998,47.495199999999997,Great Britain,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/2833,132.3041000,47.4689000
Janssen,Janssen,1973/01/01,"Pierre Jules César; French astronomer (1824-1907).",153.633000000000010,37.609400000000001,2.692800000000000,"Crater, craters",AA,Adopted by IAU,36.312600000000003,38.907400000000003,1.396900000000000,3.988800000000000,France,Europe,Arabia,mc12,http://planetarynames.wr.usgs.gov/Feature/2801,37.6094000,2.6928000
Jarry-Desloges,Jarry Desloges,1973/01/01,"Rene; French astronomer (1868-1951).",93.362399999999994,83.853300000000004,-9.374900000000000,"Crater, craters",AA,Adopted by IAU,83.056500000000000,84.652900000000002,-10.162599999999999,-8.587500000000000,France,Europe,Iapygia,mc21,http://planetarynames.wr.usgs.gov/Feature/2807,83.8533000,-9.3749000
Jeans,Jeans,1973/01/01,"James H.; British physicist, astronomer (1877-1946).",73.602800000000002,154.181900000000013,-69.637699999999995,"Crater, craters",AA,Adopted by IAU,152.386699999999990,155.976900000000001,-70.262200000000007,-69.013199999999998,Great Britain,Europe,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/2815,154.1819000,-69.6377000
Jen,Jen,1976/01/01,Town in Nigeria.,8.880580000000000,349.425700000000006,39.883400000000002,"Crater, craters",AA,Adopted by IAU,349.328500000000020,349.523799999999994,39.811300000000003,39.961199999999998,Nigeria,Africa,Mare Acidalium,mc04,http://planetarynames.wr.usgs.gov/Feature/2817,-10.5743000,39.8834000
Jezža,Jezza,1976/01/01,Town in Russia.,9.221470000000000,322.078300000000013,-48.420200000000001,"Crater, craters",AA,Adopted by IAU,321.963700000000017,322.198100000000011,-48.496000000000002,-48.340499999999999,Russia,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2826,-37.9217000,-48.4202000
Jijiga,Jijiga,1976/01/01,Town in Ethiopia.,16.156600000000001,306.047700000000020,25.107299999999999,"Crater, craters",AA,Adopted by IAU,305.894999999999982,306.196000000000026,24.975400000000000,25.247900000000001,Ethiopia,Africa,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/2828,-53.9523000,25.1073000
Johnstown,Johnstown,2006/01/01,"Town in Pennsylvania, USA.",3.362660000000000,308.934399999999982,-9.804100000000000,"Crater, craters",AA,Adopted by IAU,308.905599999999993,308.963199999999972,-9.832400000000000,-9.775700000000001,United States,North America,Coprates,mc18,http://planetarynames.wr.usgs.gov/Feature/2837,-51.0656000,-9.8041000
Joly,Joly,1973/01/01,"John; Irish geologist (1857-1933).",76.993099999999998,317.314399999999978,-74.500600000000006,"Crater, craters",AA,Adopted by IAU,314.903200000000027,319.765600000000006,-75.151300000000006,-73.852300000000000,Ireland,Europe,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/2841,-42.6856000,-74.5006000
Jones,Jones,1973/01/01,"Harold S.; British astronomer (1890-1960).",90.107900000000001,340.174899999999980,-18.884000000000000,"Crater, craters",AA,Adopted by IAU,339.377700000000004,340.984300000000019,-19.644400000000001,-18.124199999999998,Great Britain,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2843,-19.8251000,-18.8840000
Jumla,Jumla,2006/01/01,Town in Nepal.,49.228200000000001,86.441100000000006,-21.292800000000000,"Crater, craters",AA,Adopted by IAU,85.997000000000000,86.888300000000001,-21.708400000000001,-20.877900000000000,Nepal,Asia,Iapygia,mc21,http://planetarynames.wr.usgs.gov/Feature/2863,86.4411000,-21.2928000
Kachug,Kachug,1988/01/01,Town in Russia.,4.857000000000000,107.588700000000003,18.149300000000000,"Crater, craters",AA,Adopted by IAU,107.545599999999993,107.631799999999998,18.108400000000000,18.190300000000001,Russia,Europe,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/2880,107.5887000,18.1493000
Kagul,Kagul,1976/01/01,Town in Moldova.,9.132300000000001,340.972899999999981,-23.733499999999999,"Crater, craters",AA,Adopted by IAU,340.889999999999986,341.058299999999974,-23.807600000000001,-23.653500000000001,Moldova,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2885,-19.0271000,-23.7335000
Kaiser,Kaiser,1973/01/01,"Frederick; Dutch astronomer (1808-1872).",201.669000000000011,19.108599999999999,-46.194000000000003,"Crater, craters",AA,Adopted by IAU,16.639199999999999,21.557300000000001,-47.921199999999999,-44.518500000000003,The Netherlands (Dutch),Europe,Noachis,mc27,http://planetarynames.wr.usgs.gov/Feature/2890,19.1086000,-46.1940000
Kaj,Kaj,1976/01/01,Town in Russia.,1.826510000000000,330.613800000000026,-27.045100000000001,"Crater, craters",AA,Adopted by IAU,330.596600000000024,330.631199999999978,-27.060500000000001,-27.029699999999998,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2892,-29.3862000,-27.0451000
Kakori,Kakori,1976/01/01,Town in India.,28.087800000000001,330.147899999999993,-41.490099999999998,"Crater, craters",AA,Adopted by IAU,329.839099999999974,330.471699999999998,-41.727699999999999,-41.253900000000002,India,Asia,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2893,-29.8521000,-41.4901000
Kamativi,Kamativi,1991/01/01,Town in Zimbabwe.,58.810299999999998,99.993399999999994,-20.503699999999998,"Crater, craters",AA,Adopted by IAU,99.465599999999995,100.524799999999999,-21.000100000000000,-20.007999999999999,Zimbabwe,Africa,Mare Tyrrhenum,mc22,http://planetarynames.wr.usgs.gov/Feature/2905,99.9934000,-20.5037000
Kamloops,Kamloops,1991/01/01,Town in Canada.,63.962200000000003,327.395100000000014,-53.451099999999997,"Crater, craters",AA,Adopted by IAU,326.498400000000004,328.310299999999984,-53.991599999999998,-52.912500000000001,Canada,North America,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2908,-32.6049000,-53.4511000
Kampot,Kampot,1976/01/01,Town in Democratic Kampuchea (Cambodia).,13.234100000000000,314.407699999999977,-41.783000000000001,"Crater, craters",AA,Adopted by IAU,314.257999999999981,314.557399999999973,-41.894599999999997,-41.671399999999998,Cambodia,Asia,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2909,-45.5923000,-41.7830000
Kanab,Kanab,1976/01/01,"Town in Utah, USA.",14.545700000000000,340.996699999999976,-27.201300000000000,"Crater, craters",AA,Adopted by IAU,340.858799999999974,341.134700000000009,-27.324000000000002,-27.078600000000002,United States,North America,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2911,-19.0033000,-27.2013000
